DJ0233大家资产厚坤36号集合资产管理产品委托资产估值表20230321,,,,,,,,,,,,,
,,,,,,,,,,,,,
大家资产管理有限公司_大家资产厚坤36号集合资产管理产品_专用表,,,,,,,,,,,,,
日期：2023-03-21,,,,,,,单位净值：1.1029,,,,,,
科目代码,科目名称,币种,汇率,数量,单位成本,成本,成本占比,行情,市值,市值占比,估值增值,停牌信息,权益信息
,,,,,,本币,,,本币,,本币,,
,,,,,,十亿千百十万千百十元角分,,,十亿千百十万千百十元角分,,十亿千百十万千百十元角分,,
1002,银行存款,CNY,,,,"8,107,579,260.48",93.6036%,,"8,107,579,260.48",93.6036%,,,
1002.01,活期存款,CNY,1,,,"10,697,185.48",0.1235%,,"10,697,185.48",0.1235%,,,
1002.01.01,中资银行,CNY,1,,,"10,697,081.48",0.1235%,,"10,697,081.48",0.1235%,,,
1002.01.01.msyh,民生银行,CNY,1,,,"10,697,081.48",0.1235%,,"10,697,081.48",0.1235%,,,
1002.01.03,中资银行应计利息,CNY,1,,,104.00,0.0000%,,104.00,0.0000%,,,
1002.01.03.msyh,民生银行,CNY,1,,,104.00,0.0000%,,104.00,0.0000%,,,
1002.02,定期存款,CNY,1,,,"8,096,882,075.00",93.4801%,,"8,096,882,075.00",93.4801%,,,
1002.02.01,中资银行,CNY,1,,,"7,919,000,000.00",91.4264%,,"7,919,000,000.00",91.4264%,,,
1002.02.01.01,定期存款-中资银行,CNY,1,,,"7,919,000,000.00",91.4264%,,"7,919,000,000.00",91.4264%,,,
1002.02.01.01.001,工行,CNY,1,,,"5,919,000,000.00",68.3360%,,"5,919,000,000.00",68.3360%,,,
1002.02.01.01.001.DC5049 OTC,工行杭州南星桥支行5(20220527),CNY,1,,,"500,000,000.00",5.7726%,,"500,000,000.00",5.7726%,,,
1002.02.01.01.001.DC5079 OTC,工商银行佛山高明沧江支行9.9(20220630),CNY,1,,,"990,000,000.00",11.4297%,,"990,000,000.00",11.4297%,,,
1002.02.01.01.001.DC5080 OTC,工商银行英德支行4.99(20220630),CNY,1,,,"499,000,000.00",5.7611%,,"499,000,000.00",5.7611%,,,
1002.02.01.01.001.DC5086 OTC,工行中山城北支行9.7(20220722),CNY,1,,,"970,000,000.00",11.1988%,,"970,000,000.00",11.1988%,,,
1002.02.01.01.001.DC5087 OTC,工行中山西区支行9.8(20220722),CNY,1,,,"980,000,000.00",11.3143%,,"980,000,000.00",11.3143%,,,
1002.02.01.01.001.DC5092 OTC,工行中山银苑支行9.9(20220728),CNY,1,,,"1,980,000,000.00",22.8595%,,"1,980,000,000.00",22.8595%,,,
1002.02.01.01.002,农行,CNY,1,,,"2,000,000,000.00",23.0904%,,"2,000,000,000.00",23.0904%,,,
1002.02.01.01.002.DC5058 OTC,农行台州温岭支行20(20220610),CNY,1,,,"2,000,000,000.00",23.0904%,,"2,000,000,000.00",23.0904%,,,
1002.02.03,中资银行,CNY,1,,,"177,882,075.00",2.0537%,,"177,882,075.00",2.0537%,,,
1002.02.03.01,中资银行应计利息,CNY,1,,,"177,882,075.00",2.0537%,,"177,882,075.00",2.0537%,,,
1002.02.03.01.001,工行,CNY,1,,,"128,532,075.00",1.4839%,,"128,532,075.00",1.4839%,,,
1002.02.03.01.001.DC5049 OTC,工行杭州南星桥支行5(20220527),CNY,1,,,"12,906,250.00",0.1490%,,"12,906,250.00",0.1490%,,,
1002.02.03.01.001.DC5079 OTC,工商银行佛山高明沧江支行9.9(20220630),CNY,1,,,"22,695,750.00",0.2620%,,"22,695,750.00",0.2620%,,,
1002.02.03.01.001.DC5080 OTC,工商银行英德支行4.99(20220630),CNY,1,,,"11,439,575.00",0.1321%,,"11,439,575.00",0.1321%,,,
1002.02.03.01.001.DC5086 OTC,工行中山城北支行9.7(20220722),CNY,1,,,"20,370,000.00",0.2352%,,"20,370,000.00",0.2352%,,,
1002.02.03.01.001.DC5087 OTC,工行中山西区支行9.8(20220722),CNY,1,,,"20,580,000.00",0.2376%,,"20,580,000.00",0.2376%,,,
1002.02.03.01.001.DC5092 OTC,工行中山银苑支行9.9(20220728),CNY,1,,,"40,540,500.00",0.4680%,,"40,540,500.00",0.4680%,,,
1002.02.03.01.002,农行,CNY,1,,,"49,350,000.00",0.5698%,,"49,350,000.00",0.5698%,,,
1002.02.03.01.002.DC5058 OTC,农行台州温岭支行20(20220610),CNY,1,,,"49,350,000.00",0.5698%,,"49,350,000.00",0.5698%,,,
1003,定期存款减值准备,CNY,,,,"-1,578,892.01",-0.0182%,,"-1,578,892.01",-0.0182%,,,
1003.01,减值准备(第一阶段),CNY,,,,"-1,578,892.01",-0.0182%,,"-1,578,892.01",-0.0182%,,,
1003.01.02,定期存款,CNY,,,,"-1,578,892.01",-0.0182%,,"-1,578,892.01",-0.0182%,,,
1003.01.02.01,中资银行,CNY,,,,"-1,578,892.01",-0.0182%,,"-1,578,892.01",-0.0182%,,,
1003.01.02.01.001,工行,CNY,,,,"-1,179,268.76",-0.0136%,,"-1,179,268.76",-0.0136%,,,0
1003.01.02.01.001.DC5049 OTC,工行杭州南星桥支行5(20220527),CNY,,,,"-100,016.72",-0.0012%,,"-100,016.72",-0.0012%,,,0
1003.01.02.01.001.DC5079 OTC,工商银行佛山高明沧江支行9.9(20220630),CNY,,,,"-197,475.67",-0.0023%,,"-197,475.67",-0.0023%,,,0
