sheet_name,row_data_number,metric_name,metric_type,value,raw_科目代码,raw_科目名称,raw_币种,raw_汇率,raw_数量,raw_单位成本,raw_成本|本币|十亿千百十万千百十元角分,raw_成本占比|本币|十亿千百十万千百十元角分,raw_行情|本币|十亿千百十万千百十元角分,raw_市值|本币|十亿千百十万千百十元角分,raw_市值占比|本币|十亿千百十万千百十元角分,raw_估值增值|本币|十亿千百十万千百十元角分,raw_停牌信息|本币|十亿千百十万千百十元角分,raw_权益信息|本币|十亿千百十万千百十元角分,raw_value
ODS_RAW_DATA,76,同业市场融券合计,metric_row,5600000,同业市场融券合计,同业市场融券合计,,,5600000,,560000480,0.064653,,560000480,0.064653,,,,
ODS_RAW_DATA,77,实收资本,metric_row,7853420153.89,实收资本,实收资本,,,7853420153.89,1,7853420153.89,0.906693,,7853420153.89,0.906693,,,,
ODS_RAW_DATA,78,损益平准金-已实现,metric_row,,损益平准金-已实现,损益平准金-已实现,,,,,-136392353.52,-0.015747,,-136392353.52,-0.015747,,,,
ODS_RAW_DATA,79,资产合计,metric_row,,资产合计,资产合计,,,,,8666033354.77,1.000511,,8666033354.77,1.000511,,,,
ODS_RAW_DATA,80,负债合计,metric_row,,负债合计,负债合计,,,,,4423322.3,0.000511,,4423322.3,0.000511,,,,
ODS_RAW_DATA,81,资产净值,metric_row,,资产净值,资产净值,,,,,8661610032.47,1,,8661610032.47,1,,,,
ODS_RAW_DATA,82,资产支持证券投资资产合计占比,metric_data,0,,,,,,,,,,,,,,,0
ODS_RAW_DATA,83,金融商品转让-应付税费余额,metric_data,-142737.96,,,,,,,,,,,,,,,-142737.96
ODS_RAW_DATA,84,利息收入-应付税费余额,metric_data,0,,,,,,,,,,,,,,,0
ODS_RAW_DATA,85,净值日增长率（时间加权）,metric_data,0.0001,,,,,,,,,,,,,,,0.0001
ODS_RAW_DATA,86,本期净值增长率（时间加权）,metric_data,-0.1385,,,,,,,,,,,,,,,-0.1385
ODS_RAW_DATA,87,累计净值增长率（时间加权）,metric_data,4329.7689,,,,,,,,,,,,,,,4329.7689
ODS_RAW_DATA,88,金融商品转让-计税基准,metric_data,-4900670,,,,,,,,,,,,,,,-4900670
ODS_RAW_DATA,89,金融商品转让-待抵扣计税基准,metric_data,0,,,,,,,,,,,,,,,0
ODS_RAW_DATA,90,利息收入-计税基准,metric_data,0,,,,,,,,,,,,,,,0
ODS_RAW_DATA,91,期初单位净值,metric_data,1.0962,,,,,,,,,,,,,,,1.0962
ODS_RAW_DATA,92,今日单位净值,metric_data,1.1029,,,,,,,,,,,,,,,1.1029
ODS_RAW_DATA,93,昨日单位净值,metric_data,1.1028,,,,,,,,,,,,,,,1.1028
ODS_RAW_DATA,94,累计单位净值,metric_data,1.1029,,,,,,,,,,,,,,,1.1029
ODS_RAW_DATA,95,日净值增长率,metric_data,0.000091,,,,,,,,,,,,,,,0.000091
ODS_RAW_DATA,96,本期净值增长率,metric_data,0.006112,,,,,,,,,,,,,,,0.006112
ODS_RAW_DATA,97,本期净值增长率(当月),metric_data,0.001726,,,,,,,,,,,,,,,0.001726
ODS_RAW_DATA,98,累计净值增长率,metric_data,0.1029,,,,,,,,,,,,,,,0.1029
ODS_RAW_DATA,99,实现收益,metric_data,56377720.47,,,,,,,,,,,,,,,56377720.47
ODS_RAW_DATA,100,可分配收益,metric_data,808189878.58,,,,,,,,,,,,,,,808189878.58
ODS_RAW_DATA,101,单位可分配收益,metric_data,0.1029,,,,,,,,,,,,,,,0.1029
ODS_RAW_DATA,102,本季度净值增长率,metric_data,0.006112,,,,,,,,,,,,,,,0.006112
ODS_RAW_DATA,103,每日收益,metric_data,736161.64,,,,,,,,,,,,,,,736161.64
ODS_RAW_DATA,104,每日万份收益,metric_data,0.9374,,,,,,,,,,,,,,,0.9374
ODS_RAW_DATA,105,投资组合剩余期限,metric_data,781,,,,,,,,,,,,,,,781
ODS_RAW_DATA,106,投资组合剩余期限(加基金),metric_data,781,,,,,,,,,,,,,,,781
ODS_RAW_DATA,107,最近一年年化收益率,metric_data,0.022055,,,,,,,,,,,,,,,0.022055
ODS_RAW_DATA,108,其中北京预算最低备付金,metric_data,0,,,,,,,,,,,,,,,0
ODS_RAW_DATA,109,现金类占净值比,metric_data,0.0012,,,,,,,,,,,,,,,0.0012
ODS_RAW_DATA,110,投资组合平均剩余存续期,metric_data,781,,,,,,,,,,,,,,,781
