subject_code,subject_name,parent_code,parent_name,level,root_code,segment_count,is_leaf,path_codes
1002,银行存款,,,1,1002,1,false,"[""1002""]"
1002.01,银行存款_活期,1002,银行存款,2,1002,2,false,"[""1002"",""1002.01""]"
1002.01.01,投资组合托管账户,1002.01,银行存款_活期,3,1002,3,false,"[""1002"",""1002.01"",""1002.01.01""]"
1002.01.99,应计银行存款利息,1002.01,银行存款_活期,3,1002,3,false,"[""1002"",""1002.01"",""1002.01.99""]"
1002.01.01.01,投资组合托管帐户,1002.01.01,投资组合托管账户,4,1002,4,true,"[""1002"",""1002.01"",""1002.01.01"",""1002.01.01.01""]"
1002.01.99.01,投资组合托管帐户,1002.01.99,应计银行存款利息,4,1002,4,true,"[""1002"",""1002.01"",""1002.01.99"",""1002.01.99.01""]"
1103,交易性债券投资,,,1,1103,1,false,"[""1103""]"
1103.C2,以摊余成本计量的债券_银行间_已上市_短期融资券,1103,交易性债券投资,2,1103,2,false,"[""1103"",""1103.C2""]"
1103.H2,以摊余成本计量的债券_银行间_已上市_同业存单,1103,交易性债券投资,2,1103,2,false,"[""1103"",""1103.H2""]"
1103.C2.01,以摊余成本计量的债券_银行间_已上市_短期融资券_成本,1103.C2,以摊余成本计量的债券_银行间_已上市_短期融资券,3,1103,3,false,"[""1103"",""1103.C2"",""1103.C2.01""]"
1103.C2.03,以摊余成本计量类应计利息_银行间_已上市_短期融资债,1103.C2,以摊余成本计量的债券_银行间_已上市_短期融资券,3,1103,3,false,"[""1103"",""1103.C2"",""1103.C2.03""]"
1103.H2.01,以摊余成本计量的债券_银行间_已上市_同业存单_成本,1103.H2,以摊余成本计量的债券_银行间_已上市_同业存单,3,1103,3,false,"[""1103"",""1103.H2"",""1103.H2.01""]"
1103.H2.98,以摊余成本计量的债券_银行间_已上市_同业存单_溢折价,1103.H2,以摊余成本计量的债券_银行间_已上市_同业存单,3,1103,3,false,"[""1103"",""1103.H2"",""1103.H2.98""]"
1103.C2.01.072410272 IB,24财通证券CP008,1103.C2.01,以摊余成本计量的债券_银行间_已上市_短期融资券_成本,4,1103,4,true,"[""1103"",""1103.C2"",""1103.C2.01"",""1103.C2.01.072410272 IB""]"
1103.C2.03.072410272 IB,24财通证券CP008,1103.C2.03,以摊余成本计量类应计利息_银行间_已上市_短期融资债,4,1103,4,true,"[""1103"",""1103.C2"",""1103.C2.03"",""1103.C2.03.072410272 IB""]"
1103.H2.01.112402051 IB,24工商银行CD051,1103.H2.01,以摊余成本计量的债券_银行间_已上市_同业存单_成本,4,1103,4,true,"[""1103"",""1103.H2"",""1103.H2.01"",""1103.H2.01.112402051 IB""]"
1103.H2.01.112402164 IB,24工商银行CD164,1103.H2.01,以摊余成本计量的债券_银行间_已上市_同业存单_成本,4,1103,4,true,"[""1103"",""1103.H2"",""1103.H2.01"",""1103.H2.01.112402164 IB""]"
1103.H2.01.112404015 IB,24中国银行CD015,1103.H2.01,以摊余成本计量的债券_银行间_已上市_同业存单_成本,4,1103,4,true,"[""1103"",""1103.H2"",""1103.H2.01"",""1103.H2.01.112404015 IB""]"
