id,file_type,column_map,column_name,file_ext_info,status,creater,create_time,modifier,modify_time
2,,subject_nm,科目名称：,,true,,,,
101,,subject_nm,科目名称,,true,,,,
3,,n_hldamt,数量,,true,,,,
4,,n_price_cost,单位成本,,true,,,wr_user,2025-02-27 15:19:10.410579
5,,n_hldcst_locl,成本|本币|十亿千百十万千百十元角分,,true,,,,
6,,n_cb_jz_bl,成本占比,,true,,,,
7,,n_valprice,行情,,true,,,,
8,,n_hldmkv_locl,市值|本币|十亿千百十万千百十元角分,,true,,,,
9,,n_sz_jz_bl,市值占比,,true,,,,
10,,n_hldvva_l,估值增值|本币|十亿千百十万千百十元角分,,true,,,,
11,,c_subpend,停牌信息,,true,,,,
12,,c_rights,权益信息,,true,,,,
13,,c_cury_code,币种,,true,,,,
14,,n_valrate,汇率,,true,,,,
15,,n_hldcst,成本|原币|十亿千百十万千百十元角分,,true,,,,
16,,n_hldmkv,市值|原币|十亿千百十万千百十元角分,,true,,,,
17,,n_hldvva,估值增值|原币|十亿千百十万千百十元角分,,true,,,,
18,,n_hldcst_locl,成本,,true,,,wr_user,2025-02-28 15:49:22.556067
19,,n_hldmkv_locl,市值,,true,,,,
20,,n_hldvva_l,估值增值,,true,,,,
21,,n_cb_jz_bl,成本占净值%,,true,,,,
22,,n_valprice,市价,,true,,,,
23,,n_sz_jz_bl,市值占净值%,,true,,,,
24,,n_hldcst,成本原币,,true,,,,
25,,n_hldcst_locl,成本本币,,true,,,,
26,,n_hldmkv,市值原币,,true,,,,
27,,n_hldmkv_locl,市值本币,,true,,,,
28,,n_hldvva,估值增值原币,,true,,,,
29,,n_hldvva_l,估值增值本币,,true,,,,
30,,n_hldamt,证券数量,,true,,,,
31,,n_hldcst_locl,证券成本,,true,,,,
32,,n_cb_jz_bl,成本净值比例,,true,,,,
33,,n_valprice,行情价格,,true,,,,
34,,n_hldmkv_locl,证券市值,,true,,,,
35,,n_sz_jz_bl,市值净值比例,,true,,,,
36,,n_hldamt,数    量,,true,,,,
37,,n_hldcst_locl,成    本,,true,,,,
38,,n_valprice,行情收市价,,true,,,,
39,,n_hldmkv_locl,市    值,,true,,,yuanlingling,2025-06-09 14:42:42.733251
40,,n_hldcst_locl,成 本,,true,,,,
41,,n_valprice,估值价格,,true,,,,
42,,n_hldmkv_locl,市 值,,true,,,,
43,,n_hldcst_locl,成本(本位币),,true,,,,
44,,n_valprice,行情收市价(本位币),,true,,,,
45,,n_price_cost,市值(本位币),,true,,,,
46,,n_hldvva_l,估值增值(本位币),,true,,,,
47,,n_hldvva_l,增值,,true,,,,
48,,n_valprice,行情行情,,true,,,,
49,,n_cb_jz_bl,成本占净值(%),,true,,,,
50,,n_sz_jz_bl,市值占净值(%),,true,,,,
51,,n_cb_jz_bl,成本占净值比(%),,true,,,,
52,,n_sz_jz_bl,市值占净值比(%),,true,,,,
53,,n_cb_jz_bl,成本占净值%|成本占比|成本占比,,true,,,,
54,,n_sz_jz_bl,市值占净值%|市值占比|市值占比,,true,,,,
55,,n_hldcst,成本|原币,,true,,,,
56,,n_hldcst_locl,成本|本币,,true,,,,
57,,n_hldmkv,市值|原币,,true,,,,
58,,n_hldmkv_locl,市值|本币,,true,,,,
59,,n_hldvva,估值增值|原币,,true,,,,
60,,n_hldvva_l,估值增值|本币,,true,,,,
61,,n_hldcst_locl,成    本|万千百十亿千百十万千百十元角分,,true,,,,
85,,subject_cd,科目代码,,true,,,,
62,,n_hldmkv_locl,市值|万千百十亿千百十万千百十元角分,,true,,,yuanlingling,2025-06-09 14:42:55.189461
63,,n_hldcst_locl,成    本|千百十万千百十元角分,,true,,,,
64,,n_hldmkv_locl,市    值|千百十万千百十元角分,,true,,,,
65,,n_hldvva_l,估值增值|万千百十元角分,,true,,,,
66,,n_hldvva_l,估值增值|百十元角分,,true,,,,
67,,n_hldcst_locl,成本|十亿千百十万千百十元角分,,true,,,,
68,,n_hldmkv_locl,市值|十亿千百十万千百十元角分,,true,,,,
69,,n_hldvva_l,估值增值|十亿千百十万千百十元角分,,true,,,,
70,,n_hldvva_l,增值|万千百十元角分,,true,,,,
74,,n_hldcst_locl,成本-本币|成本|本币|十亿千百十万千百十元角分,,true,,,,
75,,n_hldmkv_locl,市值-本币|市值|本币|十亿千百十万千百十元角分,,true,,,,
76,,n_hldvva_l,估值增值-本币|估值增值|本币|十亿千百十万千百十元角分,,true,,,,
