"ID","AUTHOR","FILENAME","DATEEXECUTED","ORDEREXECUTED","EXECTYPE","MD5SUM","DESCRIPTION","COMMENTS","TAG","LIQUIBASE","CONTEXTS","LABELS","DEPLOYMENT_ID"
"20260415-01-oracle-core","codex","db/changelog/sql/oracle/V20260415_01__subject_match_schema.sql","2026-04-15T16:55:39.761","2","EXECUTED","9:15f4383ee2989234bcde11c3ac0c6d6d","sql","","","4.31.1","()","","6243339413"
"20260415-02-oracle-ods","codex","db/changelog/sql/oracle/V20260415_01__subject_match_schema.sql","2026-04-15T16:55:39.767","4","EXECUTED","9:b5d9116aafd066acf293e821195c4981","sql","","","4.31.1","()","","6243339413"
"20260415-03-oracle-dwd","codex","db/changelog/sql/oracle/V20260415_01__subject_match_schema.sql","2026-04-15T16:55:39.772","6","EXECUTED","9:8906645942d2e07c66729488ac0f3d4c","sql","","","4.31.1","()","","6243339413"
"20260415-04-oracle-knowledge","codex","db/changelog/sql/oracle/V20260415_01__subject_match_schema.sql","2026-04-15T16:55:39.777","8","EXECUTED","9:a1a6b2362c0a91763e8385cc1e2f1fad","sql","","","4.31.1","()","","6243339413"
"20260415-05-oracle-legacy-source","codex","db/changelog/sql/oracle/V20260415_01__subject_match_schema.sql","2026-04-15T16:55:39.782","10","EXECUTED","9:af65751dd593e4456de4cf61cf65271b","sql","","","4.31.1","()","","6243339413"
"20260415-06-oracle-indexes","codex","db/changelog/sql/oracle/V20260415_01__subject_match_schema.sql","2026-04-15T16:55:39.789","12","EXECUTED","9:fc08ddd3cc978a5205ca5c37c31f21cc","sql","","","4.31.1","()","","6243339413"
"20260415-01-mysql-core","codex","db/changelog/sql/mysql/V20260415_01__subject_match_schema.sql","2026-04-15T16:55:39.972","14","EXECUTED","9:bca0e4e496a402a86d2b1311f226fe69","sql","","","4.31.1","()","","6243339413"
"20260415-02-mysql-ods","codex","db/changelog/sql/mysql/V20260415_01__subject_match_schema.sql","2026-04-15T16:55:39.976","16","EXECUTED","9:f0c4f025ccc020e2d3d6f7b7f2ed0cd2","sql","","","4.31.1","()","","6243339413"
"20260415-03-mysql-dwd","codex","db/changelog/sql/mysql/V20260415_01__subject_match_schema.sql","2026-04-15T16:55:39.98","18","EXECUTED","9:799693464cd71331c16050859b623de9","sql","","","4.31.1","()","","6243339413"
"20260415-04-mysql-knowledge","codex","db/changelog/sql/mysql/V20260415_01__subject_match_schema.sql","2026-04-15T16:55:39.985","20","EXECUTED","9:dcf7f4706c712a5679906576c9150f0a","sql","","","4.31.1","()","","6243339413"
"20260415-05-mysql-legacy-source","codex","db/changelog/sql/mysql/V20260415_01__subject_match_schema.sql","2026-04-15T16:55:39.989","22","EXECUTED","9:e17a049ba9df070fd2527193b570e8a0","sql","","","4.31.1","()","","6243339413"
"20260415-06-mysql-indexes","codex","db/changelog/sql/mysql/V20260415_01__subject_match_schema.sql","2026-04-15T16:55:39.995","24","EXECUTED","9:fc08ddd3cc978a5205ca5c37c31f21cc","sql","","","4.31.1","()","","6243339413"
"20260415-01-postgres-core","codex","db/changelog/sql/postgres/V20260415_01__subject_match_schema.sql","2026-04-15T16:55:40.031","26","EXECUTED","9:ddf5d025444dc2eb6e1b0a9e04cb7fcb","sql","","","4.31.1","()","","6243339413"
"20260415-02-postgres-ods","codex","db/changelog/sql/postgres/V20260415_01__subject_match_schema.sql","2026-04-15T16:55:40.034","28","EXECUTED","9:6c4a9b9ce5e1d9a8f2f0878b86146955","sql","","","4.31.1","()","","6243339413"
"20260415-03-postgres-dwd","codex","db/changelog/sql/postgres/V20260415_01__subject_match_schema.sql","2026-04-15T16:55:40.037","30","EXECUTED","9:bfea724446ffe90abb5e0a9436118b22","sql","","","4.31.1","()","","6243339413"
"20260415-04-postgres-knowledge","codex","db/changelog/sql/postgres/V20260415_01__subject_match_schema.sql","2026-04-15T16:55:40.04","32","EXECUTED","9:2f298d52eaab913f371da7dcde18c6f3","sql","","","4.31.1","()","","6243339413"
"20260415-05-postgres-legacy-source","codex","db/changelog/sql/postgres/V20260415_01__subject_match_schema.sql","2026-04-15T16:55:40.043","34","EXECUTED","9:d4ca24976ff9c583a671cec6b4bc9b3d","sql","","","4.31.1","()","","6243339413"
"20260415-06-postgres-indexes","codex","db/changelog/sql/postgres/V20260415_01__subject_match_schema.sql","2026-04-15T16:55:40.049","36","EXECUTED","9:fc08ddd3cc978a5205ca5c37c31f21cc","sql",,"","4.31.1","()","","6243339413"
